ip,date,time,T (ºC)
168.90.31.193,23/10/2020, 03:36:34,23.77
168.90.31.193,23/10/2020, 03:37:10,24.36
168.90.31.193,23/10/2020, 03:37:46,24.41
168.90.31.193,23/10/2020, 03:38:23,24.41
168.90.31.193,23/10/2020, 03:38:59,24.41
168.90.31.193,23/10/2020, 03:39:35,24.41
168.90.31.193,23/10/2020, 03:40:11,24.41
168.90.31.193,23/10/2020, 03:40:48,24.45
168.90.31.193,23/10/2020, 03:41:24,24.41
168.90.31.193,23/10/2020, 03:42:00,24.41
168.90.31.193,23/10/2020, 03:42:36,24.36
168.90.31.193,23/10/2020, 03:43:12,24.36
168.90.31.193,23/10/2020, 03:43:49,23.77
168.90.31.193,23/10/2020, 03:44:25,24.36
168.90.31.193,23/10/2020, 03:45:01,24.45
168.90.31.193,23/10/2020, 03:45:38,24.45
168.90.31.193,23/10/2020, 03:46:14,24.41
168.90.31.193,23/10/2020, 03:46:50,23.81
168.90.31.193,23/10/2020, 03:47:26,24.36
168.90.31.193,23/10/2020, 03:48:03,24.41
168.90.31.193,23/10/2020, 03:48:39,24.41
168.90.31.193,23/10/2020, 03:49:15,23.77
168.90.31.193,23/10/2020, 03:49:51,24.36
168.90.31.193,23/10/2020, 03:50:28,24.41
168.90.31.193,23/10/2020, 03:51:04,24.41
168.90.31.193,23/10/2020, 03:51:40,24.41
168.90.31.193,23/10/2020, 03:52:17,24.41
168.90.31.193,23/10/2020, 03:52:53,24.36
168.90.31.193,23/10/2020, 03:53:29,24.36
168.90.31.193,23/10/2020, 03:54:05,24.36
168.90.31.193,23/10/2020, 03:54:42,24.41
168.90.31.193,23/10/2020, 03:55:18,24.41
168.90.31.193,23/10/2020, 03:55:54,24.36
168.90.31.193,23/10/2020, 03:56:31,24.36
168.90.31.193,23/10/2020, 03:57:07,24.36
168.90.31.193,23/10/2020, 03:57:43,24.36
168.90.31.193,23/10/2020, 03:58:20,24.32
168.90.31.193,23/10/2020, 03:58:56,24.41
168.90.31.193,23/10/2020, 03:59:32,24.36
168.90.31.193,23/10/2020, 04:00:09,24.36
168.90.31.193,23/10/2020, 04:00:45,23.77
168.90.31.193,23/10/2020, 04:01:21,24.32
168.90.31.193,23/10/2020, 04:01:58,24.36
168.90.31.193,23/10/2020, 04:02:34,24.41
168.90.31.193,23/10/2020, 04:03:10,23.77
168.90.31.193,23/10/2020, 04:03:46,24.36
168.90.31.193,23/10/2020, 04:04:23,24.36
168.90.31.193,23/10/2020, 04:04:59,23.77
168.90.31.193,23/10/2020, 04:05:35,23.81
168.90.31.193,23/10/2020, 04:06:11,24.32
168.90.31.193,23/10/2020, 04:06:48,24.36
168.90.31.193,23/10/2020, 04:07:24,24.36
168.90.31.193,23/10/2020, 04:08:00,24.36
168.90.31.193,23/10/2020, 04:08:37,24.41
168.90.31.193,23/10/2020, 04:09:13,24.32
168.90.31.193,23/10/2020, 04:09:50,24.36
168.90.31.193,23/10/2020, 04:10:26,24.36
168.90.31.193,23/10/2020, 04:11:02,24.32
168.90.31.193,23/10/2020, 04:11:39,24.32
168.90.31.193,23/10/2020, 04:12:15,24.32
168.90.31.193,23/10/2020, 04:12:51,24.36
168.90.31.193,23/10/2020, 04:13:28,24.32
168.90.31.193,23/10/2020, 04:14:04,24.32
168.90.31.193,23/10/2020, 04:14:40,24.32
168.90.31.193,23/10/2020, 04:15:16,24.32
168.90.31.193,23/10/2020, 04:15:53,23.72
168.90.31.193,23/10/2020, 04:16:29,23.72
168.90.31.193,23/10/2020, 04:17:05,24.36
168.90.31.193,23/10/2020, 04:17:41,24.32
168.90.31.193,23/10/2020, 04:18:18,24.32
168.90.31.193,23/10/2020, 04:18:54,24.36
168.90.31.193,23/10/2020, 04:19:30,24.32
168.90.31.193,23/10/2020, 04:20:06,24.32
168.90.31.193,23/10/2020, 04:20:42,24.32
168.90.31.193,23/10/2020, 04:21:19,24.32
168.90.31.193,23/10/2020, 04:21:55,24.32
168.90.31.193,23/10/2020, 04:22:32,24.32
168.90.31.193,23/10/2020, 04:23:08,24.27
168.90.31.193,23/10/2020, 04:23:44,23.72
168.90.31.193,23/10/2020, 04:24:20,24.32
168.90.31.193,23/10/2020, 04:24:56,23.72
168.90.31.193,23/10/2020, 04:25:33,24.27
